Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick,YardsfromScrimmage,CareerLength
Michael Waddell,CB,71,187,4.31,37.5,14,121,6.84,4.03,2004,WaddMi20,3,Titans,4,124,,
Keith Marshall,RB,71,219,4.31,30.5,25,,,,2016,MarsKe00,0,Football Team,7,242,0,1
Chris Houston,CB,70,185,4.32,36,27,122,6.94,4.12,2007,HousCh99,16,Falcons,2,41,,
Orlando Scandrick,CB,70,192,4.32,33.5,,125,6.83,,2008,ScanOr99,7,Cowboys,5,143,,
Akwasi Owusu-Ansah,CB,72,207,4.32,35.5,,120,6.84,4.32,2010,OwusAk99,1,Cowboys,4,126,,
Will Fuller,WR,72,186,4.32,33.5,10,126,6.93,4.27,2016,FullWi01,9,Texans,1,21,,
Tim Jennings,CB,68,185,4.32,37.5,17,117,,,2006,JennTi20,9,Colts,2,62,,
Kevin Garrett,CB,69,194,4.32,35,,129,6.9,3.96,2003,GarrKe20,2,Rams,5,172,,
Troy Williamson,WR,73,203,4.32,,,,6.99,,2005,WillTr01,8,Vikings,1,7,1189,5
Chad Jackson,WR,73,213,4.32,38.5,,122,6.73,3.97,2006,JackCh00,2,Patriots,2,36,,
Tim Carter,WR,72,190,4.32,39,,126,6.68,3.93,2002,CartTi00,4,Giants,2,46,1187,7
Louis Murphy,WR,74,203,4.32,,12,,,,2009,MurpLo00,11,Raiders,4,124,,
Jason Hill,WR,72,204,4.32,37,,123,7.02,4.22,2007,HillJa00,4,49ers,3,76,,
Chris McKenzie,CB,68,185,4.32,45,6,136,6.9,4.32,2005,McKeCh20,0,,,,,
Donte Jackson,CB,71,175,4.32,,7,124,,,2018,JackDo02,0,,,,,
Parry Nickerson,CB,72,180,4.32,,15,,,,2018,NickPa00,0,,,,,
Denzel Ward,CB,70,191,4.32,39,16,136,,,2018,WardDe02,0,,,,,
Michael Vick,QB,72,210,4.33,,,,,,2001,VickMi00,25,Falcons,1,1,,
Anthony Brown,CB,71,192,4.33,35,19,115,7.03,4.19,2016,BrowAn02,8,Cowboys,6,189,,
Phillip Dorsett,WR,70,185,4.33,37,13,122,6.7,4.11,2015,DorsPh00,9,Colts,1,29,,
Chris Clemons-02,FS,72,208,4.33,37.5,19,127,7.27,4.38,2009,ClemCh97,7,Dolphins,5,165,,
Chris Chambers,WR,72,210,4.33,45,,134,,4,2001,ChamCh00,26,Dolphins,2,52,,
Brandin Cooks,WR,70,189,4.33,36,16,120,6.76,3.81,2014,CookBr00,25,Saints,1,20,,
Darren McFadden,RB,73,211,4.33,33,,128,,,2008,McFaDa00,21,Raiders,1,4,,
Taiwan Jones-01,RB,72,194,4.33,,13,,,,2011,JoneTa00,2,Raiders,4,125,,
Carlos Francis,WR,69,198,4.33,38.5,,114,6.97,4.06,2004,FranCa20,0,Raiders,4,99,,
Mike Wallace,WR,72,199,4.33,40,14,129,6.9,4.27,2009,WallMi00,28,Steelers,3,84,,
Dexter Jackson,WR,69,182,4.33,29.5,,122,6.81,4.38,2008,JackDe01,0,Buccaneers,2,58,,
Coty Sensabaugh,CB,71,189,4.33,37,15,122,6.6,4.06,2012,SensCo00,7,Titans,4,115,,
Robert Griffin,QB,74,223,4.33,39,,120,,,2012,GrifRo01,33,Football Team,1,2,,
Jonathan Jones,CB,69,186,4.33,36,19,123,7.25,4.25,2016,JoneJo02,0,,,,,
Ryan Swope,WR,72,205,4.34,37,16,125,6.76,4.25,2013,SwopRy00,0,Cardinals,6,174,,
John Brown,WR,70,179,4.34,36.5,,119,6.91,4.12,2014,BrowJo02,19,Cardinals,3,91,,
DeAngelo Hall,CB,70,202,4.34,,,,,,2004,HallDe99,25,Falcons,1,8,,
Julio Jones,WR,75,220,4.34,38.5,17,135,6.66,4.25,2011,JoneJu02,28,Falcons,1,6,,
Cedric Peerman,RB,69,216,4.34,40,27,117,6.99,4.29,2009,PeerCe00,0,Ravens,6,185,,
T.J. Graham,WR,71,188,4.34,33.5,8,120,6.77,4.18,2012,GrahT.00,7,Bills,3,69,,
Johnny Knox,WR,71,185,4.34,35,,122,6.81,4.15,2009,KnoxJo00,20,Bears,5,140,,
B.J. Tucker,CB,70,188,4.34,35,16,123,7.25,4.2,2003,TuckB.20,0,Cowboys,6,178,,
Domonique Foxworth,CB,71,184,4.34,41,14,125,6.78,3.89,2005,FoxwDo20,7,Broncos,3,97,,
Josh Barrett,SS,74,223,4.34,31.5,17,121,7.07,4.27,2008,BarrJo99,3,Broncos,7,220,,
Jahvid Best,RB,70,199,4.34,32.5,18,113,6.75,4.17,2010,BestJa00,13,Lions,1,30,,
Ahmad Carroll,CB,70,195,4.34,41,15,128,,,2004,CarrAh20,13,Packers,1,25,,
Dunta Robinson,CB,71,186,4.34,36,15,120,6.97,3.75,2004,RobiDu20,18,Texans,1,10,,
Ben Tate,RB,71,220,4.34,40.5,26,124,6.91,4.12,2010,TateBe00,13,Texans,2,58,,
Trindon Holliday,WR,65,166,4.34,42,10,116,6.54,4.48,2010,HollTr00,4,Texans,6,197,,
T.J. Green,FS,74,209,4.34,35.5,13,129,,,2016,GreeT.00,4,Colts,2,57,,
T.Y. Hilton,WR,69,183,4.34,,,,,,2012,HiltT.00,30,Colts,3,92,,
R. Jay Soward,WR,69,177,4.34,35,,124,,,2000,SowaR.00,2,Jaguars,1,29,,
Tye Hill,CB,70,185,4.34,41,,129,6.63,4.01,2006,HillTy20,7,Rams,1,15,,
Tavon Austin,WR,68,174,4.34,32,14,120,,4.01,2013,AustTa00,17,Rams,1,8,,
Lamar Miller,RB,71,212,4.34,33,,,,,2012,MillLa01,18,Dolphins,4,97,,
Antwan Harris,CB,69,186,4.34,39,16,121,6.75,4.01,2000,HarrAn21,4,Patriots,6,187,,
Michael Huff,SS,72,204,4.34,40.5,21,125,,,2006,HuffMi20,15,Raiders,1,7,,
Ken-Yon Rambo,WR,73,196,4.34,,,,,,2001,RambKe00,1,Raiders,7,229,,
Willie Reid,WR,70,188,4.34,37.5,,117,7.06,4.26,2006,ReidWi00,1,Steelers,3,95,,
Tyrone Calico,WR,76,223,4.34,38,,127,6.73,4.26,2003,CaliTy00,5,Titans,2,60,,
Onterio McCalebb,RB,70,168,4.34,34,,121,,,2013,McCaOn00,0,,,,,
Troy Apke,FS,74,198,4.34,41,16,131,6.56,4.03,2018,,0,,,,,
Ricardo Lockette,WR,74,211,4.34,35.5,,127,7.15,4.19,2011,LockRi00,2,,,,,
D.J. Chark,WR,75,199,4.34,40,16,129,,,2018,,0,,,,,
Lardarius Webb,CB,70,179,4.35,36.5,15,121,6.77,4.1,2009,WebbLa99,14,Ravens,3,88,,
Kevin White-02,WR,75,215,4.35,36.5,23,123,6.92,4.14,2015,WhitKe00,1,Bears,1,7,,
Andre Caldwell,WR,72,204,4.35,33,,124,6.75,4.11,2008,CaldAn00,8,Bengals,3,97,,
Karl Paymah,CB,72,204,4.35,41.5,15,125,7.09,3.91,2005,PaymKa20,4,Broncos,3,76,,
Calvin Johnson,WR,77,239,4.35,,,,,,2007,JohnCa00,23,Lions,1,2,,
Bob Sanders,SS,68,204,4.35,41.5,15,128,6.7,3.91,2004,SandBo99,16,Colts,2,44,,
Mike Sims-Walker,WR,74,209,4.35,36.5,18,121,6.92,4.39,2007,WalkMi01,16,Jaguars,3,79,,
Chris Conley,WR,74,213,4.35,45,18,139,7.06,4.3,2015,ConlCh00,9,Chiefs,3,76,,
Demetrius Byrd,WR,72,199,4.35,31.5,,117,,,2009,,0,Chargers,7,224,,
Chris Givens,WR,71,198,4.35,33.5,19,118,6.97,4.23,2012,GiveCh00,11,Rams,4,96,,
Devin Aromashodu,WR,74,201,4.35,39,,120,7.04,4.16,2006,AromDe00,5,Dolphins,7,233,,
Daryl Jones,WR,69,180,4.35,,,,,,2002,JoneDa02,1,Giants,7,226,,
Justin Fargas,RB,73,219,4.35,,27,137,,,2003,FargJu00,2,Raiders,3,96,,
DeSean Jackson,WR,70,169,4.35,,,120,,,2008,JackDe00,34,Eagles,2,49,,
Santonio Holmes,WR,71,188,4.35,,,,,,2006,HolmSa00,26,Steelers,1,25,,
LaMichael James,RB,68,194,4.35,35,15,123,6.88,4.12,2012,JameLa00,2,49ers,2,61,,
Mike Echols,CB,69,190,4.35,,,,,,2002,EchoMi20,0,Titans,4,110,,
Fabian Moreau,CB,72,206,4.35,38,,136,6.94,4.12,2017,MoreFa00,1,Football Team,3,81,,
LaRon Landry,FS,72,213,4.35,37.5,,123,,,2007,LandLa99,21,Football Team,1,6,,
Aldrick Robinson,WR,70,184,4.35,40,17,126,6.65,4.09,2011,RobiAl00,5,Football Team,6,178,,
Roc Alexander,CB,71,185,4.35,39.5,,125,6.97,4.23,2004,AlexRo21,2,,,,,
Tony Brown,CB,72,198,4.35,31.5,14,126,6.78,4.11,2018,,0,,,,,
Drew Carter,WR,76,204,4.36,,,,,,2004,CartDr00,8,Panthers,5,163,,
Eric Wright,CB,71,192,4.36,36.5,16,123,6.93,4.23,2007,WrigEr99,19,Browns,2,53,,
Stanley Wilson,CB,72,185,4.36,39.5,14,125,,,2005,WilsSt20,5,Lions,3,72,,
Darius Slay,CB,72,192,4.36,35.5,14,124,6.9,4.21,2013,SlayDa00,13,Lions,2,36,,
Nick Collins,CB,71,206,4.36,40,11,118,6.94,4.16,2005,CollNi20,17,Packers,2,51,,
David Clowney,WR,72,188,4.36,32.5,,123,7,4.15,2007,ClowDa00,3,Packers,5,157,,
Derrick Blaylock,RB,70,194,4.36,35.5,18,119,7.05,4.09,2001,BlayDe00,11,Chiefs,5,150,,
Devon Wylie,WR,69,187,4.36,39,17,123,,,2012,WyliDe00,0,Chiefs,4,107,,
Jonathan Wade,CB,70,195,4.36,40.5,,126,7.07,4.4,2007,WadeJo99,4,Rams,3,84,,
Marshon Lattimore,CB,72,193,4.36,38.5,,132,,,2017,LattMa01,8,Saints,1,11,,
Stephen Hill,WR,76,215,4.36,39.5,14,133,6.88,4.48,2012,HillSt00,4,Jets,2,43,,
Chris Rainey,RB,68,180,4.36,36.5,16,120,6.5,3.93,2012,RainCh00,1,Steelers,5,159,,
Chris Culliver,CB,72,199,4.36,38.5,,123,6.88,4.08,2011,CullCh00,11,49ers,3,80,,
Cliff Russell,WR,71,185,4.36,,,,,,2002,RussCl00,0,Football Team,3,87,,
Andre Goodman,CB,70,182,4.36,,,,,,2002,,0,,,,,
Justin Cox,CB,73,191,4.36,38,15,129,7.05,4.07,2015,CoxxJu00,0,,,,,
Anthony Averett,CB,72,185,4.36,31.5,13,119,6.93,4.4,2018,AverAn00,0,,,,,
Anthony Alridge,RB,69,170,4.36,30.5,,134,6.88,,2008,,0,,,,,
Andrew Means,WR,73,214,4.36,34.5,12,116,6.85,4.21,2009,,0,,,,,
Kevin Ogletree,WR,72,196,4.36,36,,122,6.67,4.08,2009,OgleKe00,2,,,,,
Kashif Moore,WR,69,180,4.36,43.5,19,126,6.82,4.05,2012,MoorKa00,0,,,,,
Chris Owusu,WR,72,196,4.36,40.5,19,129,6.85,4.11,2012,OwusCh00,2,,,,,
Brandon Williams-04,CB,71,197,4.37,30.5,18,118,6.85,4.19,2016,WillBr07,3,Cardinals,3,92,,
T.J. Logan,RB,69,196,4.37,33.5,17,121,,,2017,LogaT.00,0,Cardinals,5,179,,
Tommy Streeter,WR,77,219,4.37,33,17,125,7.08,,2012,StreTo00,0,Ravens,6,198,,
Ron Brooks,CB,70,190,4.37,38,12,120,,,2012,BrooRo01,3,Bills,4,124,,
C.J. Spiller,RB,71,196,4.37,,18,,,,2010,SpilC.00,23,Bills,1,9,,
Roscoe Parrish,WR,70,168,4.37,,,,,,2005,ParrRo00,9,Bills,2,55,,
Mark Bradley,WR,73,201,4.37,39.5,,128,6.96,3.98,2005,BradMa00,5,Bears,2,39,,
Brandon Ghee,CB,72,192,4.37,37,15,127,6.75,4.07,2010,GheeBr99,1,Bengals,3,96,,
William Jackson III,CB,72,189,4.37,,10,116,,,2016,JackWi02,3,Bengals,1,24,,
Buster Skrine,CB,69,186,4.37,37,20,122,6.44,3.9,2011,SkriBu00,9,Browns,5,137,,
Justin Gilbert,CB,72,202,4.37,35.5,20,126,6.92,,2014,GilbJu00,4,Browns,1,8,,
Terence Newman,CB,70,189,4.37,41,,136,6.88,3.83,2003,NewmTe20,23,Cowboys,1,5,,
DeMarco Murray,RB,72,213,4.37,34.5,21,124,7.28,4.18,2011,MurrDe00,26,Cowboys,3,71,,
Tatum Bell,RB,71,212,4.37,38.5,25,117,,,2004,BellTa00,19,Broncos,2,41,,
Chris Cole,WR,72,191,4.37,37.5,,125,6.76,4.09,2000,ColeCh00,1,Broncos,3,70,,
Kenny McKinley,WR,72,189,4.37,37,,113,6.96,4.1,2009,McKiKe00,0,Broncos,5,141,,
D'Joun Smith,CB,70,187,4.37,36,18,124,6.96,4.26,2015,SmitDJ00,0,Colts,3,65,,
Scott Starks,CB,68,172,4.37,43,13,137,6.99,3.9,2005,StarSc20,4,Jaguars,3,87,,
Matt Jones-01,TE,78,242,4.37,39.5,,129,,,2005,JoneMa00,16,Jaguars,1,21,,
Knile Davis,RB,71,227,4.37,33.5,31,121,6.96,4.38,2013,DaviKn00,10,Chiefs,3,96,,
Will Franklin,WR,72,214,4.37,34.5,,,,,2008,FranWi00,1,Chiefs,4,105,,
Ryan Mathews,RB,72,218,4.37,36,19,121,7,4.33,2010,MathRy00,25,Chargers,1,12,,
Ronald Bartell,CB,73,211,4.37,35.5,21,,,,2005,BartRo20,9,Rams,2,50,,
Terrence Wheatley,CB,70,187,4.37,36.5,17,128,6.74,4.17,2008,WheaTe99,1,Patriots,2,62,,
Aaron Dobson,WR,75,210,4.37,,,,,,2013,DobsAa00,6,Patriots,2,59,,
Tracy Porter,CB,71,188,4.37,34,18,123,7.2,4.07,2008,PortTr99,12,Saints,2,40,,
Reggie Bush,RB,71,201,4.37,,,,,,2006,BushRe00,30,Saints,1,2,,
Andre Brown,RB,72,224,4.37,37,24,115,7.35,4.33,2009,BrowAn03,7,Giants,4,129,,
Dee Milliner,CB,72,201,4.37,36,,122,6.95,4.32,2013,MillDe00,6,Jets,1,9,,
Arman Shields,WR,73,194,4.37,37.5,19,128,6.67,3.96,2008,ShieAr00,0,Raiders,4,125,,
A.J. Jenkins,WR,72,190,4.37,38.5,12,124,,,2012,JenkA.00,2,49ers,1,30,,
Michael Grant,CB,70,186,4.37,30.5,14,116,7.08,4.1,2008,,0,,,,,
David Pender,CB,72,180,4.37,39,8,124,,,2010,PendDa00,0,,,,,
Mario Fannin,RB,70,231,4.37,37.5,21,115,6.99,4.21,2011,FannMa00,0,,,,,
Derrick Locke,RB,68,188,4.37,37.5,16,118,6.98,4.15,2011,,0,,,,,
Dave Klemic,WR,71,188,4.37,36.5,,116,,,2001,,0,,,,,
Brandon Banks,WR,67,149,4.37,31,,113,6.88,4.29,2010,BankBr00,1,,,,,
Marquez Valdes-Scantling,WR,76,206,4.37,30.5,15,124,,,2018,,0,,,,,
Beanie Wells,RB,73,235,4.38,33.5,25,128,,,2009,WellCh00,14,Cardinals,1,31,,
Desmond Trufant,CB,72,190,4.38,37.5,16,125,,3.85,2013,TrufDe00,20,Falcons,1,22,,
Dezmen Southward,SS,72,211,4.38,,,,,,2014,SoutDe00,1,Falcons,3,68,,
Laurent Robinson,WR,74,199,4.38,39,19,127,6.83,4.28,2007,RobiLa01,5,Falcons,3,75,,
Nate Clements,CB,71,209,4.38,,,,,,2001,ClemNa99,21,Bills,1,21,,
Leodis McKelvin,CB,70,190,4.38,33.5,17,121,7.06,4.1,2008,McKeLe99,10,Bills,1,11,,
Stephon Gilmore,CB,72,190,4.38,36,15,123,6.61,3.94,2012,GilmSt00,15,Bills,1,10,,
Ronald Darby,CB,71,193,4.38,41.5,12,129,6.94,4.14,2015,DarbRo00,14,Bills,2,50,,
Dennis Weathersby,CB,73,204,4.38,38,9,125,7.14,4.13,2003,WeatDe20,0,Bengals,4,98,,
Mike Jenkins,CB,70,197,4.38,34,18,117,7.21,4.4,2008,JenkMi99,18,Cowboys,1,25,,
Kevin Jones,RB,72,227,4.38,38,,120,,,2004,JoneKe02,23,Lions,1,30,,
Daniel Bullocks,SS,72,212,4.38,38,18,124,6.91,4.16,2006,BullDa20,7,Lions,2,40,,
Javon Walker,WR,75,210,4.38,39.5,,128,6.86,4.05,2002,WalkJa00,25,Packers,1,20,,
Phillip Gaines,CB,72,193,4.38,36.5,11,122,6.62,4.04,2014,GainPh00,5,Chiefs,3,87,,
Jamaal Charles,RB,71,200,4.38,30.5,,122,6.8,4.22,2008,CharJa00,30,Chiefs,3,73,,
Craphonso Thorpe,WR,73,188,4.38,,,,,,2005,ThorCr00,1,Chiefs,4,116,,
Jason Verrett,CB,69,189,4.38,39,,128,6.69,4,2014,VerrJa00,12,Chargers,1,25,,
Ted Ginn,WR,71,178,4.38,,,,,,2007,GinnTe00,18,Dolphins,1,9,,
Michael Bennett-01,RB,69,207,4.38,39.5,13,130,,,2001,BennMi00,24,Vikings,1,27,,
Jonathan Wilhite,CB,69,185,4.38,33.5,20,119,,,2008,WilhJo99,8,Patriots,4,129,,
Devin McCourty,CB,71,193,4.38,36,16,126,6.7,4.07,2010,McCoDe99,23,Patriots,1,27,,
Bethel Johnson,WR,71,201,4.38,38.5,,127,,,2003,JohnBe00,7,Patriots,2,45,,
Josh Boyce,WR,71,206,4.38,34,22,131,6.68,4.1,2013,BoycJo00,1,Patriots,4,102,,
Kenny Stills,WR,72,194,4.38,33.5,16,124,,4.35,2013,StilKe00,17,Saints,5,144,,
Prince Amukamara,CB,72,206,4.38,38,15,128,6.97,4.08,2011,AmukPr00,11,Giants,1,19,,
Jayron Hosley,CB,70,178,4.38,,11,,,,2012,HoslJa00,5,Giants,3,94,,
David Wilson,RB,70,206,4.38,41,,132,7.09,4.12,2012,WilsDa01,5,Giants,1,32,,
Sinorice Moss,WR,68,185,4.38,,,,,,2006,MossSi00,4,Giants,2,44,,
"Odell Beckham, Jr.",WR,71,198,4.38,38.5,7,122,6.69,3.94,2014,BeckOd00,34,Giants,1,12,,
Darrelle Revis,CB,71,204,4.38,,16,,,,2007,ReviDa99,39,Jets,1,14,,
Chimdi Chekwa,CB,72,191,4.38,34.5,,126,,,2011,ChekCh00,1,Raiders,4,113,,
Vernon Davis,TE,75,254,4.38,42,33,128,7,4.17,2006,DaviVe00,9,49ers,1,6,,
Marcus Trufant,CB,71,199,4.38,39,11,127,6.87,4.32,2003,TrufMa20,21,Seahawks,1,11,,
Shaquill Griffin,CB,72,194,4.38,38.5,17,132,6.87,4.14,2017,GrifSh00,4,Seahawks,3,90,,
Adam Jones,CB,69,187,4.38,,,,,,2005,JonePa20,18,Titans,1,6,,
Jaire Alexander,CB,71,192,4.38,35,14,127,6.71,3.98,2018,AlexJa00,0,,,,,
Shaquem Griffin,OLB,73,227,4.38,,20,117,,,2018,GrifSh01,0,,,,,
Nyheim Hines,RB,68,198,4.38,35.5,,119,7.18,4.35,2018,HineNy00,0,,,,,
Joseph Morgan,WR,72,189,4.38,35.5,10,123,6.91,4.25,2011,,0,,,,,
Robert Alford,CB,70,188,4.39,40,17,132,6.89,4.23,2013,AlfoRo00,12,Falcons,2,60,,
Kevon Seymour,CB,71,186,4.39,35,12,124,,4.18,2016,SeymKe00,3,Bills,6,218,,
Reggie Germany,WR,73,183,4.39,,,,,,2001,GermRe00,2,Bills,7,214,,
Lee Evans,WR,71,197,4.39,34.5,,120,,,2004,EvanLe00,28,Bills,1,13,,
Marcus Easley,WR,75,210,4.39,34,16,123,6.94,4.6,2010,EaslMa00,0,Bills,4,107,,
Kolby Listenbee,WR,72,197,4.39,35.5,15,129,,,2016,ListKo00,0,Bills,6,192,,
Zack Bowman,CB,72,197,4.39,30.5,18,122,7.1,4.21,2008,BowmZa20,8,Bears,5,142,,
Garrett Wolfe,RB,67,186,4.39,35.5,22,116,6.69,4.08,2007,WolfGa00,2,Bears,3,93,,
Leon Hall,CB,71,193,4.39,37.5,15,125,6.5,4.07,2007,HallLe98,27,Bengals,1,18,,
Bradley Roby,CB,71,194,4.39,38.5,17,124,,4.04,2014,RobyBr00,8,Broncos,1,31,,
Eddie Royal,WR,70,184,4.39,36,24,124,7.07,4.34,2008,RoyaEd00,19,Broncos,2,42,,
Terrence Murphy,WR,73,202,4.39,,,,,,2005,MurpTe00,0,Packers,2,58,,
Antwaun Molden,CB,73,198,4.39,37.5,23,129,6.85,4.14,2008,MoldAn99,2,Texans,3,79,,
DeVier Posey,WR,74,211,4.39,36.5,14,123,7.03,4.15,2012,PoseDe00,2,Texans,3,68,,
Antoine Bethea,FS,71,203,4.39,36.5,19,127,6.99,4.11,2006,BethAn20,20,Colts,6,207,,
Maurice Jones-Drew,RB,67,207,4.39,36,18,116,7.08,4.38,2006,DrewMa00,36,Jaguars,2,60,,
De'Anthony Thomas,RB,69,174,4.39,32,8,124,,,2014,ThomDe05,6,Chiefs,4,124,,
Samie Parker,WR,70,179,4.39,36,,,,,2004,ParkSa00,12,Chiefs,4,105,,
Drayton Florence,CB,72,198,4.39,35,18,124,,,2003,FlorDr20,9,Chargers,2,46,,
Isaiah Pead,RB,70,197,4.39,33,,116,6.95,4.32,2012,PeadIs00,1,Rams,2,50,,
Jamar Taylor,CB,71,192,4.39,35,22,127,6.82,4.06,2013,TaylJa01,4,Dolphins,2,54,,
Jason Allen,FS,73,209,4.39,39.5,17,131,6.75,3.81,2006,AlleJa23,6,Dolphins,1,16,,
Marcus McCauley,CB,73,203,4.39,36,17,129,6.61,4.17,2007,McCaMa99,5,Vikings,3,72,,
Aundrae Allison,WR,72,198,4.39,37,,127,,,2007,AlliAu00,3,Vikings,5,146,,
Percy Harvin,WR,71,192,4.39,,19,,,,2009,HarvPe00,32,Vikings,1,22,,
Jarius Wright,WR,70,182,4.39,38,11,120,6.93,4.03,2012,WrigJa02,12,Vikings,4,118,,
Robert Meachem,WR,74,214,4.39,37.5,,121,6.97,4.31,2007,MeacRo00,17,Saints,1,27,,
Quintin Demps,FS,72,206,4.39,31.5,16,110,,,2008,DempQu99,3,Eagles,4,117,,
Daven Holly,CB,70,192,4.39,39,15,115,7.16,4.08,2005,HollDa22,10,49ers,7,215,,
Kelly Jennings,CB,71,178,4.39,40,,120,,4,2006,JennKe20,11,Seahawks,1,31,,
Josh Wilson,CB,69,189,4.39,36.5,20,120,7.07,4.43,2007,WilsJo99,14,Seahawks,2,55,,
Joseph Jefferson,CB,71,205,4.39,39.5,8,121,6.84,4.01,2002,,0,,,,,
Kenny Scott,CB,73,179,4.39,40,10,127,,,2007,,0,,,,,
Avonte Maddox,CB,69,180,4.39,37,13,125,6.51,4,2018,MaddAv00,0,,,,,
Kory Sheets,RB,71,208,4.39,37,15,121,7.18,4.39,2009,SheeKo00,0,,,,,
John Capel,WR,71,177,4.39,36.5,,126,,,2001,,0,,,,,
J.J. Arrington,RB,69,214,4.4,35,18,121,6.81,4.1,2005,ArriJ.00,7,Cardinals,2,44,,
Leron McCoy,WR,73,211,4.4,37,,120,7.19,4.21,2005,McCoLe00,1,Cardinals,7,226,,
Todd Watkins,WR,74,202,4.4,36,15,118,7.13,4.24,2006,WatkTo20,1,Cardinals,7,218,,
Andre Roberts,WR,71,195,4.4,36,15,120,6.77,4.15,2010,RobeAn00,11,Cardinals,3,88,,
Michael Floyd,WR,75,220,4.4,36.5,16,122,,,2012,FloyMi00,17,Cardinals,1,13,,
Wilrey Fontenot,CB,69,171,4.4,34,18,128,7.29,4.26,2008,FontWi99,0,Falcons,7,212,,
Jerious Norwood,RB,72,210,4.4,36.5,15,122,6.81,4.25,2006,NorwJe00,17,Falcons,3,79,,
Tevin Coleman,RB,71,206,4.4,,22,,,,2015,ColeTe01,19,Falcons,3,73,,
Michael Jenkins,WR,76,218,4.4,,,,,,2004,JenkMi00,11,Falcons,1,29,,
Donte Whitner,SS,70,204,4.4,40,18,132,,,2006,WhitDo20,16,Bills,1,8,,
Colin Branch,FS,72,203,4.4,36,22,119,,,2003,BranCo20,10,Panthers,4,119,,
